Fecha,Tasa de Interés
1995-03-23,90.5
1995-03-24,
1995-03-27,
1995-03-28,
1995-03-29,
1995-03-30,88.465
1995-03-31,
1995-04-03,
1995-04-04,
1995-04-05,
1995-04-06,88.6
1995-04-07,
1995-04-10,
1995-04-11,
1995-04-12,88.6944
1995-04-17,
1995-04-18,
1995-04-19,
1995-04-20,88.7071
1995-04-21,
1995-04-24,
1995-04-25,
1995-04-26,
1995-04-27,74.88
1995-04-28,
1995-05-02,
1995-05-03,
1995-05-04,69.595
1995-05-08,
1995-05-09,
1995-05-10,
1995-05-11,62.255
1995-05-12,
1995-05-15,
1995-05-16,
1995-05-17,
1995-05-18,58.345
1995-05-19,
1995-05-22,
1995-05-23,
1995-05-24,
1995-05-25,51.59
1995-05-26,
1995-05-29,
1995-05-30,
1995-05-31,
1995-06-01,53.745
1995-06-02,
1995-06-05,
1995-06-06,
1995-06-07,
1995-06-08,53.575
1995-06-09,
1995-06-12,
1995-06-13,
1995-06-14,
1995-06-15,49.025
1995-06-16,
1995-06-19,
1995-06-20,
1995-06-21,
1995-06-22,47.0
1995-06-23,
1995-06-26,
1995-06-27,
1995-06-28,
1995-06-29,44.155
1995-06-30,
1995-07-03,
1995-07-04,
1995-07-05,
1995-07-06,44.185
1995-07-07,
1995-07-10,
1995-07-11,
1995-07-12,
1995-07-13,45.1
1995-07-14,
1995-07-17,
1995-07-18,
1995-07-19,
1995-07-20,42.77
1995-07-21,
1995-07-24,
1995-07-25,
1995-07-26,
1995-07-27,39.945
1995-07-28,
1995-07-31,
1995-08-01,
1995-08-02,
1995-08-03,37.5112
1995-08-04,
1995-08-07,
1995-08-08,
1995-08-09,
1995-08-10,37.675
1995-08-11,
1995-08-14,
1995-08-15,
1995-08-16,
1995-08-17,37.5375
1995-08-18,
1995-08-21,
1995-08-22,
1995-08-23,
1995-08-24,36.655
1995-08-25,
1995-08-28,
1995-08-29,
1995-08-30,
1995-08-31,38.614
1995-09-04,
1995-09-05,
1995-09-06,
1995-09-07,36.1005
1995-09-08,
1995-09-11,
1995-09-12,
1995-09-13,
1995-09-14,35.275
1995-09-15,
1995-09-18,
1995-09-19,
1995-09-20,
1995-09-21,34.395
1995-09-22,
1995-09-25,
1995-09-26,
1995-09-27,
1995-09-28,36.15
1995-09-29,
1995-10-02,
1995-10-03,
1995-10-04,
1995-10-05,41.175
1995-10-06,
